Category,Word
Animals,bird
Animals,dog
Animals,rabbit
Animals,cat
Animals,fish
Animals,cow
Animals,duck
Animals,pig
Animals,horse
Animals,chicken
Animals,lion
Animals,tiger
Animals,elephant
Animals,zebra
Animals,bear
Body Parts,hair
Body Parts,nose
Body Parts,ears
Body Parts,eyes
Body Parts,mouth
Body Parts,eyebrows
Body Parts,ear
Body Parts,head
Body Parts,eye
Colors,green
Colors,orange
Colors,purple
Colors,pink
Colors,gray
Colors,red
Colors,blue
Colors,black
Colors,yellow
Colors,white
Family,father
Family,mother
Family,grandpa
Family,grandma
Family,sister
Family,brother
Emotions and Feelings,happy
Emotions and Feelings,sad
Emotions and Feelings,sick
Emotions and Feelings,angry
Emotions and Feelings,tired
Numbers,one
Numbers,two
Numbers,three
Numbers,four
Numbers,five
Numbers,six
Numbers,seven
Numbers,eight
Numbers,nine
Numbers,ten
Numbers,eleven
Numbers,twelve
Occupations,doctor
Occupations,nurse
Occupations,cook
Occupations,teacher
Occupations,student
Personal Characteristics,heavy
Personal Characteristics,short
Personal Characteristics,thin
Personal Characteristics,tall
Personal Characteristics,strong
School Supplies,pen
School Supplies,pencil
School Supplies,eraser
School Supplies,ruler
School Supplies,marker
School Supplies,pencil case
Toys,robot
Toys,doll
Toys,yo-yo
Toys,ball
Toys,top
Actions,dance
Actions,draw
Actions,swim
Actions,sing
Actions,ride a bike
Body Parts,face
Emotions and Feelings,hungry
Personal Characteristics,fat
School Supplies,book
Toys,kite
